Chr01_00008907,chr01_000008907
Chr07_04249521,chr07_004249521
Chr07_04279350,chr07_004279350
Chr07_04291644,chr07_004291644
Chr07_04374004,chr07_004374004
Chr07_04374035,chr07_004374035
Chr07_04374065,chr07_004374065
Chr07_04573773,chr07_004573773
Chr07_04597753,chr07_004597753
Chr07_04607244,chr07_004607244
Chr07_04686735,chr07_004686735
Chr07_04960589,chr07_004960589
Chr07_05094154,chr07_005094154
Chr07_05218969,chr07_005218969
Chr07_05445330,chr07_005445330
Chr07_05460491,chr07_005460491
Chr07_06087629,chr07_006087629
chr07_06240282,chr07_006240282
Chr07_06404170,chr07_006404170
Chr07_06526479,chr07_006526479
Chr07_06565088,chr07_006565088
Chr07_06694012,chr07_006694012
Chr07_06867386,chr07_006867386
Chr07_07183441,chr07_007183441
Chr07_07183640,chr07_007183640
Chr07_07356859,chr07_007356859
Chr07_07356881,chr07_007356881
Chr07_07384635,chr07_007384635
Chr07_07384695,chr07_007384695
Chr07_07384761,chr07_007384761
Chr07_07486500,chr07_007486500
Chr07_07486544,chr07_007486544
Chr07_07623282,chr07_007623282
Chr07_07639373,chr07_007639373
Chr07_07640327,chr07_007640327
Chr07_08046004,chr07_008046004
Chr07_08046022,chr07_008046022
Chr07_08046028,chr07_008046028
Chr07_08046113,chr07_008046113
Chr07_08046127,chr07_008046127
Chr07_08102516,chr07_008102516
Chr07_08453725,chr07_008453725
Chr07_08510890,chr07_008510890
Chr07_08578559,chr07_008578559
Chr07_08857674,chr07_008857674
Chr07_09028740,chr07_009028740
Chr07_09028823,chr07_009028823
Chr07_09803175,chr07_009803175
Chr07_09901825,chr07_009901825
Chr07_10000593,chr07_010000593
Chr07_10243734,chr07_010243734
Chr07_10243856,chr07_010243856
Chr07_10251972,chr07_010251972
Chr07_10550854,chr07_010550854
Chr07_10745049,chr07_010745049
Chr07_10866178,chr07_010866178
Chr07_10866203,chr07_010866203
Chr07_10866214,chr07_010866214
Chr07_11344881,chr07_011344881
Chr07_11395951,chr07_011395951
Chr07_11395990,chr07_011395990
Chr07_11854960,chr07_011854960
Chr07_11854969,chr07_011854969
Chr07_11854979,chr07_011854979
Chr07_11854994,chr07_011854994
Chr07_11855045,chr07_011855045
Chr07_11855110,chr07_011855110
Chr07_11855111,chr07_011855111
Chr07_11855183,chr07_011855183
chr07_12059444,chr07_012059444
chr07_13031813,chr07_013031813
Chr07_13222833,chr07_013222833
Chr07_13444037,chr07_013444037
Chr07_13655249,chr07_013655249
Chr07_14519453,chr07_014519453
Chr07_14519474,chr07_014519474
Chr07_14519481,chr07_014519481
Chr07_14519538,chr07_014519538
Chr07_14519563,chr07_014519563
Chr07_14926338,chr07_014926338
Chr07_15408409,chr07_015408409
Chr07_15748250,chr07_015748250
Chr07_16646836,chr07_016646836
Chr07_16646920,chr07_016646920
Chr07_16916807,chr07_016916807
Chr07_17620862,chr07_017620862
Chr07_17777083,chr07_017777083
Chr07_17980443,chr07_017980443
Chr07_17980539,chr07_017980539
Chr07_17980542,chr07_017980542
Chr07_17980556,chr07_017980556
Chr07_17982053,chr07_017982053
Chr07_18303305,chr07_018303305
Chr07_19187237,chr07_019187237
Chr07_19920238,chr07_019920238
Chr07_20548862,chr07_020548862
Chr07_21311883,chr07_021311883
Chr07_21484053,chr07_021484053
chr07_22281032,chr07_022281032
Chr07_23352019,chr07_023352019
Chr07_23692323,chr07_023692323
chr07_24404078,chr07_024404078
Chr07_25125670,chr07_025125670
Chr07_25125700,chr07_025125700
Chr07_25394553,chr07_025394553
Chr07_25472208,chr07_025472208
Chr07_25472213,chr07_025472213
Chr07_25472229,chr07_025472229
Chr07_25472248,chr07_025472248
Chr07_25472310,chr07_025472310
Chr07_25472332,chr07_025472332
Chr07_25472333,chr07_025472333
Chr07_25472340,chr07_025472340
Chr07_25818288,chr07_025818288
Chr07_25818354,chr07_025818354
Chr07_26060119,chr07_026060119
Chr07_26060140,chr07_026060140
Chr07_26520094,chr07_026520094
Chr07_27322139,chr07_027322139
Chr07_27336769,chr07_027336769
Chr07_27497141,chr07_027497141
Chr07_27497184,chr07_027497184
Chr07_27497212,chr07_027497212
Chr07_28146418,chr07_028146418
Chr07_28579494,chr07_028579494
Chr07_28579536,chr07_028579536
Chr07_28837466,chr07_028837466
Chr07_29732534,chr07_029732534
Chr07_29815404,chr07_029815404
Chr07_30208428,chr07_030208428
Chr07_30208499,chr07_030208499
Chr07_30208567,chr07_030208567
Chr07_30358760,chr07_030358760
Chr07_30708995,chr07_030708995
Chr07_30708996,chr07_030708996
Chr07_30709057,chr07_030709057
Chr07_30908006,chr07_030908006
Chr07_30910541,chr07_030910541
Chr07_30940119,chr07_030940119
Chr07_30986470,chr07_030986470
Chr07_30998092,chr07_030998092
Chr07_30998112,chr07_030998112
Chr07_31000688,chr07_031000688
Chr07_31023232,chr07_031023232
Chr07_31125836,chr07_031125836
Chr07_31125893,chr07_031125893
Chr07_31210853,chr07_031210853
Chr07_31210918,chr07_031210918
Chr07_31210963,chr07_031210963
Chr07_31872131,chr07_031872131
Chr07_32412596,chr07_032412596
Chr07_32412780,chr07_032412780
Chr07_32504539,chr07_032504539
Chr07_32770306,chr07_032770306
Chr07_32818536,chr07_032818536
Chr07_32818545,chr07_032818545
Chr07_32818555,chr07_032818555
Chr07_32818622,chr07_032818622
Chr07_33021956,chr07_033021956
Chr07_33021958,chr07_033021958
Chr07_33089625,chr07_033089625
Chr07_33262163,chr07_033262163
Chr07_33386043,chr07_033386043
Chr07_33386085,chr07_033386085
Chr07_33615582,chr07_033615582
Chr07_33615599,chr07_033615599
Chr07_33891275,chr07_033891275
Chr07_34118789,chr07_034118789
Chr07_34372246,chr07_034372246
Chr07_34428935,chr07_034428935
Chr07_34428980,chr07_034428980
Chr07_34428983,chr07_034428983
Chr07_34699659,chr07_034699659
Chr07_34699752,chr07_034699752
Chr07_35291763,chr07_035291763
Chr07_35291765,chr07_035291765
Chr07_35510240,chr07_035510240
Chr07_35558010,chr07_035558010
Chr07_35558168,chr07_035558168
Chr07_35574432,chr07_035574432
Chr07_35574495,chr07_035574495
Chr07_36005478,chr07_036005478
Chr07_36005588,chr07_036005588
Chr07_36005604,chr07_036005604
Chr07_36757574,chr07_036757574
Chr07_36802989,chr07_036802989
Chr07_36803076,chr07_036803076
Chr07_36803147,chr07_036803147
Chr08_00056185,chr08_000056185
Chr08_00516011,chr08_000516011
Chr08_00558012,chr08_000558012
Chr08_00576870,chr08_000576870
Chr08_00576875,chr08_000576875
Chr08_00578125,chr08_000578125
Chr08_00599165,chr08_000599165
Chr08_00943381,chr08_000943381
Chr08_00943385,chr08_000943385
Chr08_00988766,chr08_000988766
Chr08_01021444,chr08_001021444
Chr08_01021542,chr08_001021542
Chr08_01021571,chr08_001021571
Chr08_01021575,chr08_001021575
Chr08_01052805,chr08_001052805
Chr08_01200130,chr08_001200130
Chr08_01200286,chr08_001200286
Chr08_01393435,chr08_001393435
Chr08_01393460,chr08_001393460
Chr08_01398400,chr08_001398400
Chr08_01398480,chr08_001398480
Chr08_01398536,chr08_001398536
Chr08_01666779,chr08_001666779
Chr08_01666831,chr08_001666831
Chr08_01691699,chr08_001691699
Chr08_01691795,chr08_001691795
Chr08_01740087,chr08_001740087
Chr08_01949134,chr08_001949134
Chr08_02634187,chr08_002634187
Chr08_03123919,chr08_003123919
Chr08_03123929,chr08_003123929
Chr08_03129664,chr08_003129664
Chr08_03277386,chr08_003277386
Chr08_03357477,chr08_003357477
Chr08_03447755,chr08_003447755
Chr08_03447773,chr08_003447773
Chr08_03447807,chr08_003447807
Chr08_03447833,chr08_003447833
Chr08_03447920,chr08_003447920
Chr08_03623144,chr08_003623144
Chr08_03925384,chr08_003925384
Chr08_04011195,chr08_004011195
Chr08_04013007,chr08_004013007
Chr08_04013028,chr08_004013028
Chr08_04252668,chr08_004252668
Chr08_04340641,chr08_004340641
Chr08_04592522,chr08_004592522
Chr08_04592566,chr08_004592566
Chr08_04592612,chr08_004592612
Chr08_04592613,chr08_004592613
Chr08_04592692,chr08_004592692
Chr08_04592696,chr08_004592696
Chr08_04645864,chr08_004645864
Chr08_04645906,chr08_004645906
Chr08_04940484,chr08_004940484
Chr08_04940577,chr08_004940577
Chr08_05076307,chr08_005076307
Chr08_05076386,chr08_005076386
Chr08_05076429,chr08_005076429
Chr08_05737714,chr08_005737714
Chr08_05740029,chr08_005740029
Chr08_05814532,chr08_005814532
Chr08_05994894,chr08_005994894
Chr08_05994942,chr08_005994942
Chr08_05995066,chr08_005995066
Chr08_06262238,chr08_006262238
Chr08_06800385,chr08_006800385
Chr08_06800393,chr08_006800393
Chr08_06800394,chr08_006800394
Chr08_06800397,chr08_006800397
Chr08_06800414,chr08_006800414
Chr08_06800441,chr08_006800441
Chr08_06800454,chr08_006800454
Chr08_06800461,chr08_006800461
Chr08_06898302,chr08_006898302
Chr08_07135186,chr08_007135186
Chr08_07528802,chr08_007528802
Chr08_07528936,chr08_007528936
Chr08_07528957,chr08_007528957
Chr08_07537534,chr08_007537534
Chr08_07537634,chr08_007537634
Chr08_07582092,chr08_007582092
Chr08_07590062,chr08_007590062
Chr08_07590132,chr08_007590132
Chr08_07611166,chr08_007611166
Chr08_08139103,chr08_008139103
Chr08_08398870,chr08_008398870
Chr08_08448017,chr08_008448017
Chr08_08932331,chr08_008932331
Chr08_08932393,chr08_008932393
Chr08_08958253,chr08_008958253
Chr08_09509177,chr08_009509177
Chr08_09867283,chr08_009867283
Chr08_10323678,chr08_010323678
Chr08_10683620,chr08_010683620
Chr08_10683670,chr08_010683670
Chr08_10683671,chr08_010683671
chr08_10893081,chr08_010893081
Chr08_11020483,chr08_011020483
Chr08_11020494,chr08_011020494
Chr08_11020526,chr08_011020526
Chr08_11020550,chr08_011020550
Chr08_11249543,chr08_011249543
Chr08_11251783,chr08_011251783
Chr08_11251790,chr08_011251790
Chr08_11251821,chr08_011251821
Chr08_11307408,chr08_011307408
Chr08_11595403,chr08_011595403
Chr08_12081200,chr08_012081200
Chr08_12186630,chr08_012186630
Chr08_12209583,chr08_012209583
Chr08_12316323,chr08_012316323
Chr08_12936708,chr08_012936708
Chr08_12938246,chr08_012938246
Chr08_13582759,chr08_013582759
Chr08_13745032,chr08_013745032
Chr08_14534144,chr08_014534144
Chr08_14844239,chr08_014844239
Chr08_15356623,chr08_015356623
Chr08_15356646,chr08_015356646
Chr08_15368201,chr08_015368201
Chr08_15368248,chr08_015368248
Chr08_15368308,chr08_015368308
Chr08_15679890,chr08_015679890
Chr08_15984026,chr08_015984026
Chr08_16052258,chr08_016052258
Chr08_16725909,chr08_016725909
Chr08_16726046,chr08_016726046
Chr08_16808964,chr08_016808964
Chr08_16809028,chr08_016809028
Chr08_16898445,chr08_016898445
Chr08_17564293,chr08_017564293
Chr08_18092099,chr08_018092099
chr08_18567482,chr08_018567482
Chr08_18698221,chr08_018698221
Chr08_19505311,chr08_019505311
Chr08_19878397,chr08_019878397
Chr08_20044888,chr08_020044888
Chr08_20121409,chr08_020121409
Chr08_20121482,chr08_020121482
Chr08_21034549,chr08_021034549
Chr08_21034550,chr08_021034550
Chr08_21034602,chr08_021034602
Chr08_21034612,chr08_021034612
Chr08_21034616,chr08_021034616
Chr08_21034617,chr08_021034617
Chr08_21394203,chr08_021394203
Chr08_21529428,chr08_021529428
Chr08_22457019,chr08_022457019
Chr08_22822596,chr08_022822596
Chr08_23888013,chr08_023888013
Chr08_24254060,chr08_024254060
Chr08_24358076,chr08_024358076
Chr08_24630092,chr08_024630092
Chr08_25318618,chr08_025318618
Chr08_25551412,chr08_025551412
Chr08_25805882,chr08_025805882
Chr08_25806044,chr08_025806044
Chr08_25952205,chr08_025952205
Chr08_25968774,chr08_025968774
Chr08_26650098,chr08_026650098
Chr08_26654202,chr08_026654202
Chr08_27288352,chr08_027288352
chr08_27762839,chr08_027762839
Chr08_28080069,chr08_028080069
Chr08_28449938,chr08_028449938
Chr08_28630222,chr08_028630222
Chr08_28844954,chr08_028844954
Chr08_28879015,chr08_028879015
Chr08_28879028,chr08_028879028
Chr08_28879044,chr08_028879044
Chr08_28879152,chr08_028879152
Chr08_28879187,chr08_028879187
Chr08_28883531,chr08_028883531
chr08_28934686,chr08_028934686
Chr08_29100257,chr08_029100257
Chr08_29216372,chr08_029216372
Chr08_29651045,chr08_029651045
Chr08_29682799,chr08_029682799
Chr08_29682800,chr08_029682800
Chr08_29682945,chr08_029682945
Chr08_29907732,chr08_029907732
Chr08_29907825,chr08_029907825
Chr08_30147442,chr08_030147442
Chr08_30147563,chr08_030147563
Chr08_30147608,chr08_030147608
Chr08_30727562,chr08_030727562
Chr08_30727592,chr08_030727592
Chr08_31195104,chr08_031195104
Chr08_31195172,chr08_031195172
Chr08_31216594,chr08_031216594
Chr08_31693731,chr08_031693731
Chr08_31848269,chr08_031848269
Chr08_31848273,chr08_031848273
Chr08_32276132,chr08_032276132
Chr08_32276208,chr08_032276208
Chr08_32276209,chr08_032276209
Chr08_32412254,chr08_032412254
Chr08_32594481,chr08_032594481
Chr08_32594512,chr08_032594512
Chr08_32594549,chr08_032594549
Chr08_32594562,chr08_032594562
Chr08_32954217,chr08_032954217
Chr08_32954262,chr08_032954262
Chr08_32954357,chr08_032954357
Chr08_33186931,chr08_033186931
Chr08_33198166,chr08_033198166
Chr08_33897032,chr08_033897032
Chr08_34182837,chr08_034182837
Chr08_34182967,chr08_034182967
Chr08_34183002,chr08_034183002
Chr08_34459921,chr08_034459921
Chr08_34523456,chr08_034523456
Chr08_34708076,chr08_034708076
Chr08_34708169,chr08_034708169
Chr08_34708178,chr08_034708178
Chr08_34814560,chr08_034814560
Chr08_34814590,chr08_034814590
Chr08_34814616,chr08_034814616
Chr08_34814630,chr08_034814630
Chr08_34814641,chr08_034814641
Chr08_35100292,chr08_035100292
Chr08_35524254,chr08_035524254
Chr08_36058149,chr08_036058149
Chr08_36538924,chr08_036538924
Chr08_36988583,chr08_036988583
Chr08_37587232,chr08_037587232
Chr08_37683000,chr08_037683000
Chr08_38253128,chr08_038253128
Chr09_00048678,chr09_000048678
Chr09_00183150,chr09_000183150
Chr09_00634275,chr09_000634275
Chr09_00634304,chr09_000634304
Chr09_00842502,chr09_000842502
Chr09_00847000,chr09_000847000
Chr09_01154255,chr09_001154255
Chr09_01255542,chr09_001255542
Chr09_01255698,chr09_001255698
Chr09_01255701,chr09_001255701
Chr09_01256093,chr09_001256093
Chr09_01314186,chr09_001314186
Chr09_01362257,chr09_001362257
Chr09_01362314,chr09_001362314
Chr09_01387925,chr09_001387925
Chr09_01429712,chr09_001429712
Chr09_01429867,chr09_001429867
Chr09_01614530,chr09_001614530
Chr09_01614578,chr09_001614578
Chr09_01614631,chr09_001614631
Chr09_01656724,chr09_001656724
Chr09_01914611,chr09_001914611
Chr09_01914672,chr09_001914672
Chr09_01914683,chr09_001914683
Chr09_01923316,chr09_001923316
Chr09_01959697,chr09_001959697
Chr09_02086981,chr09_002086981
Chr09_02466159,chr09_002466159
Chr09_02846284,chr09_002846284
Chr09_03105313,chr09_003105313
Chr09_03166945,chr09_003166945
Chr09_03166968,chr09_003166968
Chr09_03166991,chr09_003166991
Chr09_03167092,chr09_003167092
Chr09_03568833,chr09_003568833
Chr09_03753059,chr09_003753059
Chr09_04226528,chr09_004226528
Chr09_04377031,chr09_004377031
Chr09_04377032,chr09_004377032
Chr09_04383774,chr09_004383774
Chr09_04538831,chr09_004538831
Chr09_04538943,chr09_004538943
Chr09_04543045,chr09_004543045
Chr09_04559741,chr09_004559741
Chr09_04567530,chr09_004567530
Chr09_04567546,chr09_004567546
Chr09_04708670,chr09_004708670
Chr09_04708688,chr09_004708688
Chr09_04764326,chr09_004764326
Chr09_04796578,chr09_004796578
Chr09_04839568,chr09_004839568
Chr09_05052200,chr09_005052200
Chr09_05255972,chr09_005255972
Chr09_05256021,chr09_005256021
Chr09_05386027,chr09_005386027
chr09_05699438,chr09_005699438
Chr09_05725932,chr09_005725932
Chr09_05837549,chr09_005837549
Chr09_05837628,chr09_005837628
Chr09_05870828,chr09_005870828
Chr09_05922163,chr09_005922163
Chr09_05922345,chr09_005922345
Chr09_06186296,chr09_006186296
Chr09_06223294,chr09_006223294
Chr09_06758817,chr09_006758817
Chr09_06888740,chr09_006888740
Chr09_07221967,chr09_007221967
Chr09_07222036,chr09_007222036
Chr09_07546186,chr09_007546186
Chr09_07546211,chr09_007546211
Chr09_07546345,chr09_007546345
Chr09_07546380,chr09_007546380
Chr09_07644472,chr09_007644472
Chr09_07870653,chr09_007870653
Chr09_07900801,chr09_007900801
Chr09_07900841,chr09_007900841
Chr09_08028982,chr09_008028982
Chr09_08029033,chr09_008029033
Chr09_08597655,chr09_008597655
Chr09_08835521,chr09_008835521
Chr09_09184263,chr09_009184263
Chr09_09186124,chr09_009186124
Chr09_09219997,chr09_009219997
Chr09_09220033,chr09_009220033
Chr09_09498647,chr09_009498647
Chr09_09517220,chr09_009517220
Chr09_09569899,chr09_009569899
Chr09_09911493,chr09_009911493
Chr09_09911605,chr09_009911605
Chr09_09912660,chr09_009912660
Chr09_09912680,chr09_009912680
Chr09_09912700,chr09_009912700
Chr09_09912739,chr09_009912739
Chr09_10196127,chr09_010196127
Chr09_10235535,chr09_010235535
Chr09_10280763,chr09_010280763
Chr09_10314669,chr09_010314669
Chr09_10314676,chr09_010314676
Chr09_10314691,chr09_010314691
Chr09_10314718,chr09_010314718
Chr09_10314855,chr09_010314855
Chr09_10314864,chr09_010314864
Chr09_10314870,chr09_010314870
Chr09_10314886,chr09_010314886
Chr09_10314892,chr09_010314892
Chr09_10465441,chr09_010465441
Chr09_10810013,chr09_010810013
Chr09_11093122,chr09_011093122
Chr09_11369054,chr09_011369054
Chr09_11595275,chr09_011595275
Chr09_11595306,chr09_011595306
Chr09_11600953,chr09_011600953
Chr09_11600993,chr09_011600993
Chr09_11604660,chr09_011604660
Chr09_11604677,chr09_011604677
Chr09_11604684,chr09_011604684
Chr09_11604738,chr09_011604738
Chr09_11604820,chr09_011604820
Chr09_11680095,chr09_011680095
Chr09_11680255,chr09_011680255
Chr09_12085903,chr09_012085903
Chr09_12450834,chr09_012450834
Chr09_12450858,chr09_012450858
Chr09_12838104,chr09_012838104
Chr09_12838118,chr09_012838118
Chr09_12838135,chr09_012838135
Chr09_12838140,chr09_012838140
Chr09_12865570,chr09_012865570
Chr09_13287810,chr09_013287810
Chr09_13912834,chr09_013912834
Chr09_13989349,chr09_013989349
Chr09_14543731,chr09_014543731
Chr09_14543754,chr09_014543754
Chr09_14543864,chr09_014543864
Chr09_14685147,chr09_014685147
Chr09_14988141,chr09_014988141
Chr09_15446061,chr09_015446061
Chr09_15561838,chr09_015561838
Chr09_15564184,chr09_015564184
chr09_15567204,chr09_015567204
Chr09_15567355,chr09_015567355
Chr09_15638403,chr09_015638403
Chr09_15684094,chr09_015684094
Chr09_15740110,chr09_015740110
Chr09_15760060,chr09_015760060
Chr09_16312015,chr09_016312015
Chr09_16568848,chr09_016568848
Chr09_16621900,chr09_016621900
Chr09_16887797,chr09_016887797
Chr09_16887803,chr09_016887803
Chr09_16887872,chr09_016887872
Chr09_16887873,chr09_016887873
Chr09_16887982,chr09_016887982
Chr09_17375576,chr09_017375576
Chr09_17691994,chr09_017691994
Chr09_18057630,chr09_018057630
Chr09_18123572,chr09_018123572
Chr09_18404852,chr09_018404852
Chr09_18404973,chr09_018404973
Chr09_18404975,chr09_018404975
Chr09_18404993,chr09_018404993
Chr09_18405002,chr09_018405002
Chr09_18662170,chr09_018662170
Chr09_19053099,chr09_019053099
Chr09_19460212,chr09_019460212
Chr09_19553871,chr09_019553871
Chr09_19553968,chr09_019553968
Chr09_19553993,chr09_019553993
Chr09_20163817,chr09_020163817
Chr09_20464978,chr09_020464978
Chr09_20465004,chr09_020465004
Chr09_20465040,chr09_020465040
Chr09_20466605,chr09_020466605
Chr09_20668505,chr09_020668505
Chr09_20668539,chr09_020668539
Chr09_20668546,chr09_020668546
Chr09_20668568,chr09_020668568
Chr09_20668648,chr09_020668648
Chr09_20668649,chr09_020668649
Chr09_20668664,chr09_020668664
Chr09_20668723,chr09_020668723
chr09_20840218,chr09_020840218
Chr09_20928266,chr09_020928266
Chr09_20928275,chr09_020928275
Chr09_20928308,chr09_020928308
Chr09_21150588,chr09_021150588
Chr09_21624015,chr09_021624015
Chr09_21630281,chr09_021630281
Chr09_21812941,chr09_021812941
Chr09_22115182,chr09_022115182
Chr09_22115236,chr09_022115236
Chr09_22115349,chr09_022115349
Chr09_22115385,chr09_022115385
Chr09_22116326,chr09_022116326
Chr09_22313972,chr09_022313972
Chr09_22314065,chr09_022314065
Chr09_22396793,chr09_022396793
Chr09_22926219,chr09_022926219
Chr09_23422855,chr09_023422855
Chr09_23737467,chr09_023737467
Chr09_24139588,chr09_024139588
Chr09_24202030,chr09_024202030
chr09_24367731,chr09_024367731
Chr09_24917006,chr09_024917006
Chr09_25429039,chr09_025429039
chr09_25533149,chr09_025533149
Chr09_26408336,chr09_026408336
Chr09_26408337,chr09_026408337
Chr09_26933339,chr09_026933339
Chr09_27171146,chr09_027171146
Chr09_27557395,chr09_027557395
Chr09_27557432,chr09_027557432
Chr09_27669610,chr09_027669610
Chr09_27669611,chr09_027669611
Chr09_27669666,chr09_027669666
Chr09_27669669,chr09_027669669
Chr09_27669708,chr09_027669708
Chr09_27669727,chr09_027669727
Chr09_27670526,chr09_027670526
Chr09_27670531,chr09_027670531
Chr09_28161618,chr09_028161618
chr09_28513005,chr09_028513005
Chr09_28716492,chr09_028716492
Chr09_29249293,chr09_029249293
Chr09_29693408,chr09_029693408
Chr09_29693423,chr09_029693423
Chr09_30088291,chr09_030088291
Chr09_30670391,chr09_030670391
Chr09_30926935,chr09_030926935
Chr09_31324348,chr09_031324348
Chr09_31920776,chr09_031920776
Chr09_32095706,chr09_032095706
Chr09_32564480,chr09_032564480
Chr09_32787098,chr09_032787098
Chr09_33026689,chr09_033026689
Chr09_33470547,chr09_033470547
Chr09_34241401,chr09_034241401
Chr09_34424465,chr09_034424465
Chr09_34928640,chr09_034928640
Chr09_35374059,chr09_035374059
Chr09_35397845,chr09_035397845
Chr09_35893245,chr09_035893245
Chr09_36266430,chr09_036266430
Chr09_36647423,chr09_036647423
Chr09_37352830,chr09_037352830
Chr09_37764635,chr09_037764635
Chr09_38023246,chr09_038023246
chr09_38322347,chr09_038322347
Chr09_38342017,chr09_038342017
Chr09_38656205,chr09_038656205
chr09_39352042,chr09_039352042
Chr09_39378863,chr09_039378863
Chr09_39827612,chr09_039827612
Chr09_40344348,chr09_040344348
Chr09_40427140,chr09_040427140
Chr09_41081142,chr09_041081142
Chr09_41407931,chr09_041407931
Chr10_00053732,chr10_000053732
Chr10_00056734,chr10_000056734
Chr10_00302955,chr10_000302955
Chr10_00302999,chr10_000302999
Chr10_00425350,chr10_000425350
Chr10_00456652,chr10_000456652
Chr10_00467634,chr10_000467634
Chr10_00467651,chr10_000467651
Chr10_00479726,chr10_000479726
Chr10_00604293,chr10_000604293
Chr10_00756838,chr10_000756838
Chr10_00886291,chr10_000886291
Chr10_00897856,chr10_000897856
Chr10_00940990,chr10_000940990
Chr10_00941097,chr10_000941097
Chr10_01157266,chr10_001157266
Chr10_01230688,chr10_001230688
Chr10_01230786,chr10_001230786
Chr10_01593524,chr10_001593524
Chr10_01858789,chr10_001858789
Chr10_02232024,chr10_002232024
chr10_02288902,chr10_002288902
Chr10_02541127,chr10_002541127
Chr10_02696359,chr10_002696359
Chr10_02696369,chr10_002696369
Chr10_02696370,chr10_002696370
Chr10_02696535,chr10_002696535
Chr10_02704663,chr10_002704663
Chr10_02704723,chr10_002704723
chr10_02962379,chr10_002962379
Chr10_03331782,chr10_003331782
Chr10_03331783,chr10_003331783
Chr10_03331813,chr10_003331813
Chr10_03464307,chr10_003464307
Chr10_03858801,chr10_003858801
Chr10_04058124,chr10_004058124
Chr10_04268138,chr10_004268138
Chr10_04398245,chr10_004398245
Chr10_04779253,chr10_004779253
Chr10_05285021,chr10_005285021
Chr10_05286279,chr10_005286279
Chr10_05286298,chr10_005286298
Chr10_05286345,chr10_005286345
Chr10_05286424,chr10_005286424
Chr10_05286432,chr10_005286432
Chr10_05426137,chr10_005426137
Chr10_05649036,chr10_005649036
Chr10_06137869,chr10_006137869
Chr10_06137874,chr10_006137874
Chr10_06137878,chr10_006137878
Chr10_06137890,chr10_006137890
Chr10_06137964,chr10_006137964
Chr10_06373521,chr10_006373521
Chr10_06373540,chr10_006373540
Chr10_06373561,chr10_006373561
Chr10_06373579,chr10_006373579
Chr10_06373675,chr10_006373675
Chr10_06657041,chr10_006657041
Chr10_07025764,chr10_007025764
Chr10_07058453,chr10_007058453
Chr10_07492747,chr10_007492747
Chr10_07492763,chr10_007492763
Chr10_07657536,chr10_007657536
Chr10_07657615,chr10_007657615
Chr10_07677167,chr10_007677167
Chr10_08185294,chr10_008185294
Chr10_08327351,chr10_008327351
Chr10_08662136,chr10_008662136
chr10_08692467,chr10_008692467
Chr10_08787429,chr10_008787429
Chr10_08787431,chr10_008787431
Chr10_08787562,chr10_008787562
Chr10_08787574,chr10_008787574
Chr10_08870954,chr10_008870954
Chr10_09217408,chr10_009217408
Chr10_09217439,chr10_009217439
Chr10_09217595,chr10_009217595
Chr10_09516205,chr10_009516205
Chr10_09523137,chr10_009523137
Chr10_10039517,chr10_010039517
Chr10_10376102,chr10_010376102
Chr10_10484069,chr10_010484069
Chr10_10533124,chr10_010533124
Chr10_11358315,chr10_011358315
Chr10_11810834,chr10_011810834
Chr10_11870031,chr10_011870031
Chr10_11870054,chr10_011870054
chr10_12559028,chr10_012559028
Chr10_12810076,chr10_012810076
chr10_12951333,chr10_012951333
Chr10_13574087,chr10_013574087
chr10_13765668,chr10_013765668
Chr10_13933412,chr10_013933412
Chr10_13934850,chr10_013934850
Chr10_14218036,chr10_014218036
Chr10_14408214,chr10_014408214
Chr10_15201549,chr10_015201549
Chr10_15244448,chr10_015244448
Chr10_15412679,chr10_015412679
Chr10_16495702,chr10_016495702
Chr10_16495764,chr10_016495764
Chr10_16958768,chr10_016958768
Chr10_17134799,chr10_017134799
chr10_17349759,chr10_017349759
Chr10_17798218,chr10_017798218
Chr10_18120143,chr10_018120143
Chr10_18496269,chr10_018496269
Chr10_18661703,chr10_018661703
chr10_18999040,chr10_018999040
Chr10_19344990,chr10_019344990
Chr10_19983777,chr10_019983777
Chr10_20404264,chr10_020404264
Chr10_20483662,chr10_020483662
Chr10_20483695,chr10_020483695
Chr10_20483710,chr10_020483710
Chr10_20483713,chr10_020483713
Chr10_20805673,chr10_020805673
Chr10_20805675,chr10_020805675
Chr10_20805685,chr10_020805685
Chr10_20805698,chr10_020805698
Chr10_20805753,chr10_020805753
Chr10_21192358,chr10_021192358
Chr10_21192425,chr10_021192425
Chr10_21743091,chr10_021743091
chr10_21906923,chr10_021906923
Chr10_21964121,chr10_021964121
Chr10_22452773,chr10_022452773
Chr10_22658372,chr10_022658372
Chr10_23060949,chr10_023060949
Chr10_23343702,chr10_023343702
Chr10_23343822,chr10_023343822
chr10_23537683,chr10_023537683
Chr10_23761524,chr10_023761524
Chr10_24056758,chr10_024056758
chr10_24100836,chr10_024100836
Chr10_24253083,chr10_024253083
Chr10_24553053,chr10_024553053
Chr10_24714149,chr10_024714149
Chr10_24714277,chr10_024714277
Chr10_25354512,chr10_025354512
Chr10_25625703,chr10_025625703
Chr10_26028634,chr10_026028634
Chr10_26028756,chr10_026028756
Chr10_26028789,chr10_026028789
Chr10_26028830,chr10_026028830
Chr10_26181479,chr10_026181479
Chr10_26181534,chr10_026181534
Chr10_26692317,chr10_026692317
Chr10_27015443,chr10_027015443
chr10_27355952,chr10_027355952
chr10_27574002,chr10_027574002
